"citizen","time","value"
"Iran",2009-11-01,745
"Iran",2009-12-01,735
"Iran",2010-01-01,710
"Iran",2010-02-01,655
"Iran",2010-03-01,665
"Iran",2010-04-01,590
"Iran",2010-05-01,570
"Iran",2010-06-01,645
"Iran",2010-07-01,690
"Iran",2010-08-01,850
"Iran",2010-09-01,1080
"Iran",2010-10-01,960
"Iran",2010-11-01,885
"Iran",2010-12-01,955
"Iran",2011-01-01,945
"Iran",2011-02-01,775
"Iran",2011-03-01,835
"Iran",2011-04-01,730
"Iran",2011-05-01,765
"Iran",2011-06-01,755
"Iran",2011-07-01,885
"Iran",2011-08-01,955
"Iran",2011-09-01,1165
"Iran",2011-10-01,1055
"Iran",2011-11-01,1075
"Iran",2011-12-01,1030
"Iran",2012-01-01,1055
"Iran",2012-02-01,810
"Iran",2012-03-01,735
"Iran",2012-04-01,985
"Iran",2012-05-01,875
"Iran",2012-06-01,850
"Iran",2012-07-01,1030
"Iran",2012-08-01,1145
"Iran",2012-09-01,1190
"Iran",2012-10-01,1395
"Iran",2012-11-01,1420
"Iran",2012-12-01,995
"Iran",2013-01-01,1230
"Iran",2013-02-01,830
"Iran",2013-03-01,820
"Iran",2013-04-01,1125
"Iran",2013-05-01,930
"Iran",2013-06-01,860
"Iran",2013-07-01,940
"Iran",2013-08-01,830
"Iran",2013-09-01,920
"Iran",2013-10-01,1230
"Iran",2013-11-01,870
"Iran",2013-12-01,735
"Iran",2014-01-01,890
"Iran",2014-02-01,620
"Iran",2014-03-01,630
"Iran",2014-04-01,835
"Iran",2014-05-01,755
"Iran",2014-06-01,675
"Iran",2014-07-01,790
"Iran",2014-08-01,805
"Iran",2014-09-01,975
"Iran",2014-10-01,1110
"Iran",2014-11-01,965
"Iran",2014-12-01,865
"Iran",2015-01-01,845
"Iran",2015-02-01,690
"Iran",2015-03-01,780
"Iran",2015-04-01,1005
"Iran",2015-05-01,1000
"Iran",2015-06-01,1190
"Iran",2015-07-01,1395
"Iran",2015-08-01,1705
"Iran",2015-09-01,2560
"Iraq",2008-01-01,3510
"Iraq",2008-02-01,2335
"Iraq",2008-03-01,1910
"Iraq",2008-04-01,1900
"Iraq",2008-05-01,2000
"Iraq",2008-06-01,2085
"Iraq",2008-07-01,2215
"Iraq",2008-08-01,2210
"Iraq",2008-09-01,2470
"Iraq",2008-10-01,2655
"Iraq",2008-11-01,1960
"Iraq",2008-12-01,1930
"Iraq",2009-01-01,1985
"Iraq",2009-02-01,1460
"Iraq",2009-03-01,1390
"Iraq",2009-04-01,1120
"Iraq",2009-05-01,1010
"Iraq",2009-06-01,1160
"Iraq",2009-07-01,1340
"Iraq",2009-08-01,1270
"Iraq",2009-09-01,1440
"Iraq",2009-10-01,1470
"Iraq",2009-11-01,1410
"Iraq",2009-12-01,1270
"Iraq",2010-01-01,1340
"Iraq",2010-02-01,1140
"Iraq",2010-03-01,1030
"Iraq",2010-04-01,940
"Iraq",2010-05-01,1000
"Iraq",2010-06-01,1085
"Iraq",2010-07-01,1155
"Iraq",2010-08-01,1270
"Iraq",2010-09-01,1165
"Iraq",2010-10-01,1080
"Iraq",2010-11-01,1200
"Iraq",2010-12-01,1570
"Iraq",2011-01-01,1210
"Iraq",2011-02-01,1125
"Iraq",2011-03-01,1155
"Iraq",2011-04-01,960
"Iraq",2011-05-01,1040
"Iraq",2011-06-01,1085
"Iraq",2011-07-01,1180
"Iraq",2011-08-01,1280
"Iraq",2011-09-01,1315
"Iraq",2011-10-01,1095
"Iraq",2011-11-01,1125
"Iraq",2011-12-01,925
"Iraq",2012-01-01,1115
"Iraq",2012-02-01,950
"Iraq",2012-03-01,915
"Iraq",2012-04-01,730
"Iraq",2012-05-01,935
"Iraq",2012-06-01,1015
"Iraq",2012-07-01,1055
"Iraq",2012-08-01,1105
"Iraq",2012-09-01,970
"Iraq",2012-10-01,1295
"Iraq",2012-11-01,1075
"Iraq",2012-12-01,780
"Iraq",2013-01-01,980
"Iraq",2013-02-01,675
